cell_id,WBP5,ITGA5,LAMC2,VIM,KRT14,KRT17,is_cancer,site,non_cancer_type,compartment,patient,WBP5_detected,ITGA5_detected,LAMC2_detected,VIM_detected,KRT14_detected,KRT17_detected
HNSCC28_P12_B06_S210_comb,0,0,5.1066,0,11.639,8.7883,0,Lymph node,0,0,28,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P1_B04_S16_comb,4.7167,0,0,9.048,0.40163,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P12_C02_S218_comb,1.937,2.1502,4.5473,0,11.477,6.3713,1,Lymph node,0,Cancer cells,28,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P12_E02_S242_comb,3.6608,0,0,0,12.502,8.9227,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
HNSCC28_P13_H02_S278_comb,3.2585,0.090853,4.0413,0,11.345,10.534,1,Lymph node,0,Cancer cells,28,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P13_G05_S269_comb,4.4251,4.7959,4.5525,9.6694,0,0,0,Lymph node,Endothelial,Endothelial,28,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P12_H07_S283_comb,0,0,0.14143,7.1121,0,0,0,Lymph node,B cell,B cell,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P1_H04_S88_comb,2.6422,0,0,8.2104,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P12_E01_S241_comb,0,0,0.27501,8.2473,0.27977,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
HNSCC28_P1_F12_S72_comb,4.5118,0,0,7.617,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_E02_S50_comb,0,2.3331,0,6.9239,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P2_H05_S89_comb,4.743,5.6455,0.12035,7.9144,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P2_G10_S82_comb,4.5991,0,0,9.6762,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P13_H07_S283_comb,3.5619,0,6.2344,0,12.463,10.012,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P2_A04_S4_comb,0,0,0.1003,9.8132,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P1_E05_S53_comb,0,0,0,7.8253,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
