cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HNSCC_17_P10_G01_S265_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P7_D04_S136_comb,0,0,Primary,Fibroblast,Fibroblast,17,FALSE
HNSCC18_P2_A01_S97_comb,3.0467,0,Primary,0,0,18,TRUE
HNSCC18_P16_A04_S196_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P9_A07_S7_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P13_E08_S344_comb,0,0,Primary,Mast,Mast,18,FALSE
HNSCC16_P2_G01_S73_comb,4.624,0,Primary,Endothelial,Endothelial,16,TRUE
HNSCC17_P13_D03_S327_comb,0,0,Primary,Macrophage,Macrophage,17,FALSE
HNSCC17_P7_F02_S158_comb,4.5037,0,Primary,Fibroblast,Fibroblast,17,TRUE
HNSCC17_P2_F08_S68_comb,4.8747,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P2_E03_S51_comb,4.5198,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P2_C06_S30_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC17_P2_C09_S33_comb,3.6901,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P3_H12_S384_comb,1.0854,1,Primary,0,Cancer cells,18,TRUE
HNSCC18_P3_G01_S361_comb,0,0,Primary,0,0,18,FALSE
HNSCC16_P2_C09_S33_comb,4.5977,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC16_P2_F10_S70_comb,4.9369,0,Primary,Endothelial,Endothelial,16,TRUE
HNSCC16_P2_G08_S80_comb,5.5409,0,Primary,Endothelial,Endothelial,16,TRUE
HNSCC18_P3_G05_S365_comb,1.6178,0,Primary,0,0,18,TRUE
HNSCC18_P13_E12_S348_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P3_G12_S372_comb,0,0,Primary,Fibroblast,Fibroblast,18,FALSE
HNSCC17_P3_A12_S204_comb,2.0687,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P3_D09_S333_comb,0,0,Primary,0,0,18,FALSE
HNSCC17_P2_A04_S4_comb,2.2013,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P3_D03_S327_comb,2.389,1,Primary,0,Cancer cells,18,TRUE
HNSCC17_P2_C07_S31_comb,3.0293,1,Primary,0,Cancer cells,17,TRUE
HNSCC_17_P10_E05_S245_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P3_C04_S220_comb,4.4193,1,Primary,0,Cancer cells,17,TRUE
HNSCC16_P2_B06_S18_comb,5.1094,0,Primary,Endothelial,Endothelial,16,TRUE
HNSCC18_P13_F03_S351_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC17_P3_B07_S211_comb,0,1,Primary,0,Cancer cells,17,FALSE
