gene	scale	analysis	subset	n	rho	p	pearson
KRT17	CPM1e4_log1p	cell_level	Lymph node proxy tumor epithelial cells	5084	0.3452129416961424	3.009754548962031e-142	0.3482350234995074
KRT17	CPM1e4_log1p	patient_mean	Proxy tumor epithelial cells	10	0.8787878787878788	0.0008138621117322102	0.7438443063978091
KRT17	CPM1e4_log1p	patient_mean	Primary proxy tumor epithelial cells	10	0.9030303030303028	0.0003436121977632824	0.768985333737221
KRT17	CPM1e4_log1p	patient_mean	Lymph node proxy tumor epithelial cells	10	-0.38181818181818183	0.2762553333854362	-0.5582727352423804
KRT14	CPM1e4_log1p	cell_level	All cells	268131	0.13088117521503556	0.0	0.16833938843091986
KRT14	CPM1e4_log1p	cell_level	Proxy tumor epithelial cells	53192	0.19346759986627327	0.0	0.2380429146730829
KRT14	CPM1e4_log1p	cell_level	Non-proxy tumor cells	214939	0.10452647712034924	0.0	0.10473803165043667
KRT14	CPM1e4_log1p	cell_level	Primary proxy tumor epithelial cells	48108	0.18160570101025791	0.0	0.220912416909262
KRT14	CPM1e4_log1p	cell_level	Lymph node proxy tumor epithelial cells	5084	0.2177342835961134	1.2927984712141155e-55	0.33543190438251913
KRT14	CPM1e4_log1p	patient_mean	Proxy tumor epithelial cells	10	0.6121212121212121	0.059972142477255276	0.7600619109698618
KRT14	CPM1e4_log1p	patient_mean	Primary proxy tumor epithelial cells	10	0.5878787878787878	0.07387770688865809	0.7726786598473506
KRT14	CPM1e4_log1p	patient_mean	Lymph node proxy tumor epithelial cells	10	-0.6079055436800646	0.06225488170893078	-0.7354734381544923
